database\1.jpg,"[3.18309886e-01 3.15060894e-15 8.01485565e-01 1.89968980e-02
 4.68609672e-03 7.72533975e-03 9.12239513e-01 7.24069635e-02
 2.71362343e-03 1.92370580e-02 3.52664088e-02 1.98463294e-03
 6.38147703e-01 1.30338876e-01 1.38381667e-02 6.77075448e-04
 3.48900510e-02 7.85488887e-02 1.18669463e-02 4.61718827e-04
 1.62084489e-01 1.40489099e-01 3.40755608e-02 4.36770479e-03
 2.04697453e-04 3.07021785e-02 1.11665952e-01 3.51460782e-02
 3.39394815e-03 1.10100253e-04 2.60333466e-01 7.61491916e-02
 5.24020868e-02 1.37821222e-02 1.62541504e-03 5.75550244e-05
 6.16508924e-03 1.05354284e-01 6.77541835e-02 1.24232753e-02
 9.52688098e-04 2.93255136e-05 4.46171334e-01 3.63450854e-02
 5.16937111e-02 2.77663582e-02 6.40618039e-03 5.38775375e-04
 1.55959101e-05 5.43965579e-02 5.32469236e-02 9.22093230e-02
 2.98827342e-02 4.10127878e-03 2.93855287e-04 8.12434134e-06
 3.64631385e-01 1.29181874e-01 2.47935062e-02 3.83689504e-02
 1.65235028e-02 2.51443422e-03 1.67453048e-04 4.25085526e-06
 7.73191222e-02 1.99079765e-02 8.69992154e-02 5.21132759e-02
 1.15977381e-02 1.46747822e-03 9.27897425e-05 2.24881068e-06]"
database\10000.jpg,"[0.31830989 0.010439   0.3491385  0.07743544 0.0624286  0.0200916
 0.02451428 0.04475353 0.14112324 0.0820326  0.06740046 0.07935452
 0.07442563 0.08004774 0.2397464  0.06370478 0.03840207 0.12718005
 0.15915794 0.04801781 0.0044441  0.0552848  0.13459309 0.1453401
 0.04541029 0.009092   0.09667033 0.14730299 0.02718351 0.04862266
 0.00305725 0.03258697 0.04487631 0.15232698 0.05481921 0.01312261
 0.02203346 0.07309807 0.10904426 0.05634951 0.07334918 0.04155847
 0.01144733 0.06562214 0.07256014 0.1208545  0.00991665 0.0255328
 0.01989992 0.01953288 0.08342851 0.04172739 0.05281682 0.05156456
 0.04170554 0.02394635 0.01515056 0.06109827 0.06361639 0.11238966
 0.03429009 0.00470421 0.00594177 0.01418887 0.01550543 0.07265915
 0.02579994 0.03645135 0.02674246 0.04140223 0.00860228 0.02446875]"
database\10001.jpg,"[0.31830989 0.00270985 0.70349589 0.00206077 0.04547907 0.00843101
 0.63054743 0.05656391 0.02668936 0.05505845 0.0337595  0.0213556
 0.20950712 0.08956845 0.05153209 0.02032284 0.01939833 0.07547705
 0.028881   0.01881188 0.19808787 0.06028033 0.09624724 0.01801696
 0.02038717 0.04115414 0.07939568 0.05204388 0.00768485 0.02039982
 0.32212711 0.02366626 0.1197809  0.0252898  0.01792397 0.0205521
 0.07594794 0.02800904 0.07771095 0.01615672 0.01813174 0.0204879
 0.16935412 0.0881649  0.0838881  0.04303348 0.01936227 0.017838
 0.02061484 0.0553274  0.05430928 0.083756   0.0494973  0.02052791
 0.01714546 0.02063888 0.04845936 0.0779487  0.02165074 0.06532113
 0.02381844 0.01718685 0.01783307 0.02067253 0.00928888 0.08499014
 0.0544306  0.07528895 0.02765667 0.01441645 0.01806381 0.02067302]"
database\10002.jpg,"[3.18309886e-01 1.00355538e-15 6.20519937e-01 7.21474448e-02
 7.08302976e-04 3.65861498e-03 3.65429746e-01 1.75296445e-01
 2.83174860e-02 1.21797601e-02 2.25048686e-02 6.87513225e-04
 5.35072043e-02 1.30197853e-01 7.70283591e-02 1.54069122e-02
 1.06466179e-02 2.50329318e-02 1.45547232e-02 3.86318167e-03
 2.28827597e-01 5.23117872e-02 7.28907526e-02 4.32351494e-02
 1.04191612e-02 2.69243077e-02 8.23261424e-03 3.25619826e-02
 2.61419575e-03 4.97606864e-03 1.30781617e-01 1.69670189e-01
 9.61508577e-03 4.66610216e-02 2.95288643e-02 7.93424153e-03
 2.36773105e-02 1.38843977e-02 1.20195003e-02 1.94393236e-02
 5.49738994e-03 5.15048738e-03 1.51450541e-02 8.88786459e-02
 9.32842695e-02 9.05433861e-03 3.43115499e-02 2.27636653e-02
 6.44845511e-03 2.62769367e-02 8.38361927e-03 1.62031034e-02
 1.02478448e-02 9.52114787e-03 9.25636655e-03 4.92064585e-03
 8.18034343e-02 6.86876324e-02 6.75288078e-02 5.22816596e-02
 1.57446398e-02 2.72972129e-02 1.89433116e-02 5.43255149e-03
 3.37448156e-02 7.61008547e-04 8.99572630e-03 2.19754457e-02
 9.05867117e-03 2.53709652e-03 1.11582360e-02 4.53432419e-03]"
database\10005.jpg,"[3.18309886e-01 1.69460832e-15 6.80251414e-01 1.19446672e-01
 1.43359557e-02 1.11717741e-02 5.77433313e-01 3.71970705e-01
 4.83093658e-02 4.68551898e-02 3.43389683e-02 9.75963261e-03
 3.41979301e-01 4.97435022e-01 1.92519432e-01 2.09652028e-02
 6.88011459e-02 4.01894798e-02 4.32766415e-02 5.85049545e-03
 2.59233822e-01 3.90343644e-01 3.32223380e-01 1.02544794e-01
 9.21767825e-03 6.86424368e-02 3.91862331e-02 8.76444351e-02
 3.09350439e-02 3.29062957e-03 2.42157542e-01 2.42125137e-01
 3.10624294e-01 2.21829279e-01 5.34337407e-02 4.04255352e-03
 4.09111820e-02 9.52184550e-02 1.08174454e-01 7.49394417e-02
 1.99817612e-02 1.82314370e-03 1.54952253e-01 1.92508620e-01
 1.54434577e-01 2.65306128e-01 1.39677653e-01 2.69597525e-02
 1.76903807e-03 1.88088005e-02 1.59149646e-01 8.95090614e-02
 1.09987100e-01 5.53331352e-02 1.25234138e-02 9.99480880e-04
 8.28886020e-02 1.45846732e-01 4.14257529e-02 1.65518779e-01
 2.09192141e-01 8.21477441e-02 1.32561468e-02 7.76750116e-04
 7.08051082e-02 1.90666873e-01 5.05342536e-02 1.09831414e-01
 9.08452434e-02 3.92844579e-02 7.66894991e-03 5.43119236e-04]"
database\10152.jpg,"[0.31830989 0.00233191 0.63754492 0.03027471 0.02650025 0.02860747
 0.40279139 0.09907876 0.01613176 0.04156517 0.11457694 0.01497066
 0.04031577 0.09796384 0.04499257 0.01177096 0.01517299 0.15544197
 0.04146919 0.00553816 0.23756763 0.00158157 0.07399428 0.03254317
 0.00673332 0.0464448  0.06708775 0.06257254 0.01025584 0.00693452
 0.13543721 0.08966513 0.05494137 0.0644599  0.00886441 0.00756444
 0.07366641 0.07706901 0.03044361 0.02924802 0.00500394 0.00729969
 0.02143164 0.07146424 0.01867623 0.07170961 0.02017552 0.00993355
 0.00736992 0.02177197 0.11626459 0.04268305 0.03589163 0.01197676
 0.00737549 0.00742104 0.07355813 0.0082045  0.08310048 0.03472352
 0.02118852 0.02049743 0.00672737 0.00748786 0.05940756 0.02978731
 0.07352555 0.00665224 0.02523717 0.0135792  0.00628382 0.00747533]"
database\10309.jpg,"[3.18309886e-01 8.92258881e-15 7.76747823e-01 3.02363023e-02
 8.64228364e-03 9.25239972e-03 8.23854466e-01 1.08689615e-01
 6.99212894e-03 3.20788286e-02 3.85005136e-02 2.82807566e-03
 4.95313609e-01 1.77052919e-01 3.36050802e-02 2.16607205e-03
 4.80814009e-02 7.49419826e-02 1.47556563e-02 1.00743126e-03
 3.45873603e-02 1.59101111e-01 7.60962433e-02 1.30849384e-02
 6.92781559e-04 2.37031414e-02 8.88542041e-02 3.58638566e-02
 6.47061776e-03 3.74118453e-04 2.96637430e-01 4.50462654e-02
 1.03941934e-01 3.80087113e-02 4.98194061e-03 2.36382587e-04
 4.04438931e-02 6.64276022e-02 5.15200011e-02 1.97152399e-02
 2.87197897e-03 1.37430215e-04 3.72850198e-01 9.86944449e-02
 8.45327423e-02 6.92317099e-02 1.73161196e-02 1.97187236e-03
 8.44322300e-05 8.82062404e-02 2.51713892e-02 4.25266613e-02
 3.67611735e-02 1.06194829e-02 1.22209840e-03 5.06208056e-05
 2.32424526e-01 1.72898979e-01 2.16863875e-02 8.46305452e-02
 3.81001749e-02 7.97913429e-03 8.03241915e-04 3.08425856e-05
 6.97662427e-02 1.20104448e-02 1.00108689e-02 4.37517448e-02
 2.47276832e-02 5.27353538e-03 5.10898452e-04 1.87706740e-05]"
database\10368.jpg,"[0.31830989 0.00180342 0.43738326 0.05457917 0.01013869 0.00116363
 0.00908732 0.08748546 0.0048898  0.00661288 0.00369242 0.00534763
 0.17225415 0.02150008 0.01837024 0.00597995 0.01072206 0.00837629
 0.01711677 0.02373768 0.01750828 0.07826456 0.03122015 0.022396
 0.01451898 0.01449635 0.01572512 0.0471528  0.09542021 0.01255123
 0.0584798  0.01257043 0.00672248 0.03172862 0.04187951 0.0046738
 0.00603628 0.0036648  0.04792921 0.13536323 0.04373631 0.00391076
 0.02126193 0.0469052  0.02582937 0.02691687 0.03879014 0.01083559
 0.00193312 0.01312724 0.02402814 0.01585402 0.06515956 0.0580656
 0.00587956 0.00144879 0.00364613 0.01259169 0.00590757 0.0144352
 0.01617696 0.0227488  0.00514722 0.00388455 0.00820552 0.01519053
 0.0480567  0.03170912 0.02101251 0.0137194  0.00636155 0.00485548]"
database\10379.jpg,"[3.18309886e-01 6.67179365e-15 6.63880923e-01 8.92494483e-02
 2.87863007e-03 2.10931972e-03 5.26571932e-01 2.34682730e-01
 3.98199420e-02 2.28059296e-02 2.83899257e-02 3.31975930e-03
 1.77358107e-01 2.56904952e-01 1.09385698e-01 2.47413363e-02
 2.81610533e-02 3.18830410e-02 1.97735805e-02 7.00738855e-03
 8.28866334e-02 1.08464305e-01 1.35328296e-01 6.74784144e-02
 1.81516871e-02 2.91983913e-02 5.27895139e-03 4.37641055e-02
 7.00072760e-03 8.73530199e-03 1.56357228e-01 9.11498899e-02
 6.87650716e-02 9.16818395e-02 4.82962167e-02 1.45330692e-02
 4.38099623e-02 1.28045923e-03 1.55107062e-02 3.67439770e-02
 3.50452588e-03 9.26750930e-03 1.35920580e-01 1.73799319e-01
 6.57216094e-02 6.75569412e-02 6.85516344e-02 3.77017768e-02
 1.22283097e-02 3.34455524e-03 2.54045000e-02 1.03315868e-02
 2.33632958e-02 2.58157052e-02 9.73219376e-03 9.16108550e-03
 7.39700636e-02 1.34805430e-01 1.38464284e-01 2.28309413e-02
 6.67539325e-02 5.32269625e-02 3.12421185e-02 1.05963778e-02
 3.33068045e-02 1.48093964e-02 3.18210138e-03 8.95268496e-03
 2.44685315e-02 1.60617033e-02 1.36852109e-02 8.73225035e-03]"
database\10414.jpg,"[0.31830989 0.00081799 0.70971515 0.003595   0.01595618 0.01229941
 0.62235703 0.03338002 0.01785665 0.00837196 0.07576025 0.00999032
 0.18693428 0.05943583 0.04261844 0.01274464 0.0136063  0.13766788
 0.00673391 0.0095145  0.22058346 0.05150662 0.08203556 0.02179651
 0.01155812 0.01471055 0.13017178 0.01356976 0.00543814 0.0109986
 0.3351529  0.00792516 0.09544494 0.04728201 0.01073342 0.01171314
 0.01196001 0.03235868 0.02315506 0.02492239 0.00562517 0.01150394
 0.17217589 0.07085117 0.05873517 0.070915   0.0166873  0.0105598
 0.01180977 0.02024328 0.0890995  0.02426333 0.04609999 0.01072447
 0.00700979 0.01182689 0.06346623 0.07803088 0.02223165 0.06718262
 0.0232035  0.01805102 0.00922953 0.01198707 0.00949517 0.13587791
 0.00850784 0.04892576 0.02537911 0.00453922 0.00805837 0.01204652]"
